learner_token,activity_date,cohort_month,deployment_month_number,activities_started_today,activities_completed_today,certifications_earned_today,categories_active_today,activities_started_total,activities_completed_total,certifications_earned_total,session_count,engaged_session_count,avg_words_per_session,scaffold_clarification_per_session,scaffold_decomposition_per_session,scaffold_consecutive_correction_runs,scaffold_convergence_trend,reasoning_level_0,reasoning_level_1,reasoning_level_2,reasoning_level_3,reasoning_chain_count,metacog_verification_rate,metacog_reactive_rate,metacog_strategic_rate,ai_prof_application_score,ai_prof_ethics_score,ai_prof_understanding_score,ai_prof_verification_score,ai_prof_min_score,ai_prof_cert_level,cognitive_score,critical_thinking_score,problem_solving_score,creativity_score,pue_score,pue_energy_constraint_pct,pue_market_pricing_pct,pue_enterprise_planning_pct,pue_learner_initiated_pct,pue_multi_domain_pct,pue_local_context_pct,role_readiness_signal,role_teaching_intent_count,role_community_application_count,role_enterprise_orientation_count,role_intergenerational_count,peer_diffusion_signal,cert_attempted_count,cert_passed_count,cert_avg_score,cert_names_passed,ci_tracks_active_count,ci_certs_passed_count,artifact_produced,artifact_quality_score,artifact_goal_specificity,artifact_resource_spec,artifact_implementation_steps,artifact_constraint_integration,artifact_quantitative_reasoning,artifact_feasibility,is_persistent_learner,site
030ebc8d09b0c73e8903defdd164d138,2025-10-01,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-02,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-03,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-04,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-05,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-06,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-07,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-08,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-09,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-10,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
030ebc8d09b0c73e8903defdd164d138,2025-10-11,2025-10-01,5,0,0,0,null,126,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,65.00,50.00,55.00,60.00,70.00,null,null,null,null,null,null,null,0,0,0,0,null,0,0,null,null,0,0,null,null,null,null,null,null,null,null,null,Oloibiri
